PetID,PureBred,SingleColor,HasRealName
86e1089a3,0,0,1
6296e909a,0,0,0
3422e4906,0,0,1
5842f1ff5,0,0,1
850a43f90,0,0,1
d24c30b4b,0,0,0
1caa6fcdb,1,0,1
97aa9eeac,0,0,1
c06d167ca,0,0,0
7a0942d61,0,0,1
8b693ca84,0,0,1
8e76c8e39,0,0,1
aaedd873d,0,0,1
4a9793dfb,0,0,1
c02be41e6,0,0,1
1fd342e17,0,0,1
b38a74866,0,0,1
f9d07d5fa,1,0,1
1c92ce464,0,0,1
b10e7605a,0,0,0
6436c1a59,0,0,1
234a5a54c,0,0,1
1bc0f89d8,0,0,1
1bf24d8be,0,0,1
988988d5b,0,0,1
cf7d3eec0,0,0,1
85fc3c314,0,0,0
efbf1703a,0,0,0
7843a9dca,0,0,1
d341fbfd6,0,0,1
1a76190c5,0,0,1
edb920079,0,0,1
543130f60,0,0,1
9415bc79e,0,0,0
4c6fe4100,0,0,1
0737e4f11,0,0,1
61fa73996,0,0,0
eabb13cea,0,0,1
deff069a2,0,0,1
4e3640544,0,0,1
ace21b6b1,0,0,1
8ee223a17,0,0,1
9a38d4275,0,0,1
671ffc570,0,0,1
aece6e7bf,0,0,1
c1e816568,0,0,1
22f6c0ac6,0,0,1
ea159d8da,0,0,1
af1035c81,0,0,1
0d25f084f,0,0,1
6fecc5cf7,0,0,1
7fe8ef73d,0,0,1
015c75c9e,0,0,1
9609a0b86,1,0,1
c740abfe1,0,0,1
f6551137d,0,0,1
8c131db77,0,0,1
d765ae877,0,0,1
8ce183889,0,0,1
9c0ddccc8,0,0,1
f9df8656a,0,0,1
f0ef9c777,0,0,1
3181e5424,0,0,1
9883a048e,0,0,1
b0dec8779,0,0,1
e8d0907ae,0,0,1
e540c1ba5,0,0,0
4a4db4d32,0,0,1
98a98311c,0,0,1
ef14861df,0,0,1
a9bc357f0,0,0,1
aaf4a1439,1,0,1
1e62e6022,0,0,1
4e797dcdd,0,0,1
45d2ddcb8,0,0,1
259b10a3e,0,0,1
d2490c888,0,0,1
2c93c0c11,0,0,1
35593da00,1,0,1
4cc70e613,0,0,0
ff125cf8d,0,0,1
c30dd6e9a,0,0,1
be9474b85,0,0,1
815f4cc08,0,0,1
ec5069cf6,0,0,1
867308404,0,0,1
e9df3ead7,0,0,1
258667857,0,0,1
fd3172797,0,0,1
8df0bb3b3,0,0,1
3d0752cd9,0,0,1
22051ab84,1,0,1
573b3ec3d,1,0,0
370fe2afb,0,0,1
dd308e46b,0,0,1
6a763a055,0,0,1
5e4154870,0,0,1
a44d42407,0,0,1
cc8401c02,0,0,1
0f24b6cd6,0,0,0
49bb70e36,0,0,0
43ddb2eb4,0,0,1
dae92dd61,0,0,1
a6ac8884b,1,0,1
60ce9e319,0,0,1
5247209aa,0,0,1
19b1f4263,1,0,1
d50e11ec5,0,0,1
4407e70f3,0,0,0
27b6e5aca,0,0,1
80ebea85c,1,0,0
1bf1f95ef,0,0,1
cdab8ba8e,0,0,1
b84dad49f,0,0,0
f0a2122d4,0,0,1
1104fe6bb,0,0,0
46d88ca3e,0,0,1
b99d5d532,0,0,0
2b6d08cba,0,0,1
b9429dc85,0,0,1
c61f6507e,0,0,0
e464fcd4b,0,0,1
86379f12f,0,0,1
55fcdea2f,0,0,1
392d3346e,1,0,1
33db028cb,0,0,1
35c0c3aca,0,0,1
d080818c3,0,0,1
6f0cb510a,0,0,1
61ac3c78c,0,0,1
368b2adc1,0,0,1
2e4c1faf7,0,0,1
a85a1c8c3,0,0,1
25c7d6c3b,0,0,1
0b819602d,0,0,1
4c594983d,1,0,1
05f99fc56,0,0,1
1dfadc371,0,0,1
6d9b202c9,0,0,1
54791dc58,0,0,1
b36616178,0,0,1
2ac4dd8c2,0,0,1
29f54c6ff,0,0,1
48b418070,0,0,1
c7eac7b01,0,0,1
8e0d65b3e,0,0,0
9a34ddc8b,0,0,1
ff9f62e79,0,0,1
4a6ee5d02,0,0,1
474bccd75,1,0,1
e4abb93bf,0,0,1
120805f93,0,0,1
2acf3fdce,0,0,1
e1ecc1b26,0,0,1
a8cdba660,0,0,1
9bcd62ef1,0,0,0
c3f2f166d,0,0,0
687e9c33c,0,0,1
bb5f471dd,0,0,1
0aaf6976a,0,0,1
45600eaab,0,0,0
dcba09ff1,0,0,0
d7f938acd,0,0,1
ea11b6f12,0,0,1
3332eb59c,1,0,0
b3e19ff68,0,0,0
594e3dc3f,0,0,1
fbb112b7e,0,0,1
d14d62508,0,0,1
5de61cf6b,0,0,1
b9590d4de,0,0,1
747c82f83,0,0,1
3004c3401,0,0,1
c737c30d7,0,0,1
03b0568b3,0,0,1
987baa1c7,0,0,1
70b3d1f9c,0,0,1
27456ec0f,0,0,1
5c28a8cec,0,0,1
2c8ae4c7e,1,0,1
cd7bea671,0,0,1
7bda94ad0,0,0,1
ab4b4681b,0,0,1
aa189a931,0,0,0
d0bc14f47,1,0,1
eab8c8c03,0,0,1
3b4a987ba,0,0,1
1bbb46822,0,0,1
5c546c236,0,0,1
702bee848,0,0,1
66757255c,0,0,1
0b0f596b5,0,0,0
938bcf142,0,0,1
bea72e6c5,0,0,1
52e555a3a,0,0,1
3998bcfec,0,0,1
e62e5aa26,0,0,1
933e0a3e8,0,0,1
1eb8a0278,0,0,1
d5df16a32,0,0,1
06296e4e2,0,0,1
207d61997,0,0,1
38a81271c,0,0,1
65d10be4d,0,0,1
c7b468b32,0,0,1
6df350974,0,0,1
249112486,1,0,1
8f85e69ee,0,0,1
b243b8e93,0,0,1
89523a695,0,0,1
4f0eacbdd,0,0,1
b5fcc079e,0,0,1
53976b229,0,0,1
f4ed1a08e,0,0,1
2f3227612,0,0,1
ba66a7a82,0,0,1
d4e83ee5b,0,0,1
00a1f270a,0,0,1
74e316be1,0,0,1
039509c40,0,0,1
eeb60466e,0,0,1
c6cdbebfa,0,0,1
82137b39f,0,0,1
28b64c198,0,0,1
f70251906,0,0,1
9d76ed82f,0,0,1
e83f846eb,0,0,1
60b9421cc,0,0,1
72a7cb335,0,0,1
0bd4aed6b,0,0,1
ae03f99f2,0,0,1
5a1010bca,0,0,1
6a5c652b5,0,0,1
040771e8e,0,0,1
706a9cd5c,0,0,1
62550cf78,0,0,1
701c5afba,0,0,1
d0fcfeb0f,0,0,1
7bce76c66,0,0,1
3b0b88ac2,1,0,1
a88d34ee3,0,0,1
061378b30,0,0,1
fc1457818,0,0,1
a27f0cc49,0,0,1
728c78b39,0,0,1
6c054c4ef,0,0,1
d5b9e0322,0,0,1
a2dc697f6,0,0,1
b04b200fa,0,0,0
be7b65c23,0,0,1
e37f4aa07,0,0,1
7de2f688b,0,0,1
e7020fa9a,1,0,1
752491221,0,0,1
c2346525a,0,0,1
bc7361016,0,0,1
66201cf73,0,0,1
b7359384d,0,0,1
be23e42d0,0,0,1
1c59cecac,0,0,1
e7e1904f4,0,0,1
2e3bfe5a9,0,0,1
13f07ee9a,0,0,0
d78d1dec0,1,0,1
821bd9373,0,0,1
720db9cb3,0,0,1
0443d6f82,0,0,1
67efce2e0,0,0,1
fa1a30192,0,0,1
c675f3b10,1,0,1
6e3d78857,0,0,1
d4d6997e3,0,0,1
d13d93f69,0,0,1
d8715d47e,0,0,1
c15b3c9f1,0,0,1
3bef75882,1,0,0
60bf93971,1,0,1
e9eeadf82,1,0,1
a4530b1d0,0,0,1
da6bb3100,0,0,1
79669f807,0,0,1
3af2b1473,0,0,1
0f0f81a37,0,0,1
b8976d821,0,0,1
9eb98f34c,0,0,1
e317b2a73,0,0,1
ebd78e1d4,0,0,1
0822c54d5,0,0,1
4036e0e12,0,0,1
f34d62be0,0,0,1
2a7b5edbf,0,0,1
18042e473,0,0,1
dc99804de,0,0,1
0fb490c9b,0,0,1
284be445a,0,0,1
a831df76b,0,0,1
145883970,0,0,1
e3d9dc96d,0,0,1
9a64e72cf,0,0,1
6e643eba1,0,0,1
a1b3dafc9,1,0,1
fe88a5777,0,0,1
bda2d149e,0,0,1
6cb5381cb,0,0,1
366a03818,0,0,1
732d546b4,0,0,1
a8a8f95f6,0,0,1
0b4bb9906,0,0,1
5eeb10b7a,0,0,1
f03b04b1e,0,0,1
a672ea96d,0,0,1
4df43033d,0,0,1
d25638f81,0,0,1
aafb75ee8,0,0,1
e9cf01a21,0,0,1
1c74d62ed,0,0,1
2148c2ef6,0,0,1
f0bb05fc7,0,0,1
479500716,0,0,1
1afdf61ec,0,0,1
b4d0c60b6,0,0,1
110d4487e,0,0,1
27cede3cf,0,0,1
99dcd9020,0,0,0
4cb8fe436,0,0,1
a13ed5e9d,1,0,1
7adc5209e,0,0,1
0a8ee7520,0,0,1
82aa52460,0,0,1
4c9f111f1,0,0,1
eb6c692dc,1,0,1
d096658bb,1,0,1
109c4f5a8,0,0,1
f8b702182,0,0,1
eb652ec07,1,0,1
026ebf139,0,0,0
6c7c5555f,0,0,1
1a9733afb,0,0,1
1a54d4e92,1,0,1
8526200d3,1,0,1
8df39788a,0,0,1
045543730,0,0,1
bf50b399e,0,0,1
a05289ebd,0,0,1
dee525fcd,0,0,1
ceed27182,0,0,1
c0a9578bb,0,0,0
66dda45c4,0,0,0
9c87d70e5,0,0,1
4574e3de4,0,0,1
794a45833,0,0,1
800a7c025,1,0,1
6c75b9082,0,0,1
6dbc5c968,0,0,1
