PetID,MeanMetadataScore,MedianMetadataScore,MinMetadataScore,MaxMetadataScore,StdMetadataScore,RepresentsPet,RepresentsOther
86e1089a3,0.07483765335,0.053137147999999995,0.003672963,0.30278948,0.08477554336956343,1.0,0.0
6296e909a,0.09170770950000001,0.04597220925,0.009631539,0.35333177,0.09973861366425452,1.0,0.0
3422e4906,0.09429165867714286,0.047815776285714276,0.01617034337142857,0.3238247328571428,0.10052546316147068,0.8571428571428571,0.14285714285714285
5842f1ff5,0.08254880158125,0.0459810948125,0.008507623624999999,0.25245583450000003,0.07939323834796629,0.625,0.375
850a43f90,0.07977077996200001,0.05291458983333334,0.011934316753333334,0.26234382,0.07546758737883576,0.6666666666666666,0.3333333333333333
d24c30b4b,0.0973864487965,0.04446120275,0.0085680343,0.337411185,0.11094314737157378,1.0,0.0
1caa6fcdb,0.09679004532,0.05730228083333333,0.011199833866666667,0.3117586666666667,0.09902083814891154,1.0,0.0
97aa9eeac,0.09870782276404445,0.048913500611111105,0.005324621908222222,0.3743208244444445,0.11972024561270583,0.0,1.0
c06d167ca,0.09175382172450001,0.06385867008333333,0.018589905745,0.2707649083333334,0.07906860492384155,1.0,0.0
7a0942d61,0.09453832583999999,0.036147583250000004,0.010184579899999999,0.341292565,0.10731278527691028,1.0,0.0
8b693ca84,0.06570353671057143,0.0514730495,0.01144328577714286,0.17938120857142859,0.051246826881827655,0.7142857142857143,0.2857142857142857
8e76c8e39,0.07871397275,0.07879437524999999,0.0178042405,0.1369006,0.03728088354938697,1.0,0.0
aaedd873d,0.056394412000000005,0.0513521365,0.04434879,0.09853995,0.015170141099549367,0.0,1.0
4a9793dfb,0.09440948140000001,0.0722871775,0.037087526,0.26116624,0.06649442686456082,1.0,0.0
c02be41e6,0.0935146857,0.0494062435,0.018772792,0.427329665,0.11763540008955667,0.5,0.5
1fd342e17,0.0901786665,0.05487750125,0.0159847015,0.288007225,0.08564704091938408,1.0,0.0
b38a74866,0.0919260962,0.040126587000000005,0.021796271,0.36298832,0.10455550540368765,1.0,0.0
f9d07d5fa,0.06427779809999999,0.0558787425,0.017598066,0.12120965,0.03198526848384698,0.0,1.0
1c92ce464,0.09454430378249999,0.027744656,0.010161162325,0.5011903875,0.1491740432713567,1.0,0.0
b10e7605a,0.07347182497000002,0.0422139125,0.0044283587,0.21948466,0.06848420113367236,1.0,0.0
6436c1a59,0.08768941126457143,0.04955901564285714,0.010677594931428572,0.32612117285714287,0.09702288095204972,0.8571428571428571,0.14285714285714285
234a5a54c,0.062050680069999996,0.0460796763,0.0162359151,0.16460109,0.04469213499866937,1.0,0.0
1bc0f89d8,,,,,,0.0,1.0
1bf24d8be,,,,,,0.0,1.0
988988d5b,0.09073707574157895,0.05772023655263157,0.015643707215789473,0.2858014763157895,0.08674507313833818,1.0,0.0
cf7d3eec0,0.09633767609233333,0.06073098466666666,0.0037458355899999997,0.32853015999999996,0.10230004461669316,1.0,0.0
85fc3c314,0.09418875071181819,0.06152646163636363,0.012975130863636363,0.3069648109090909,0.0918812063572552,0.9090909090909091,0.09090909090909091
efbf1703a,0.07836688080999998,0.05421617025,0.008189014599999999,0.220971175,0.06565571098161857,0.5,0.5
7843a9dca,,,,,,0.0,1.0
d341fbfd6,0.034108433849999995,0.0331757095,0.0006698145,0.06965802,0.02696906245952561,1.0,0.0
1a76190c5,0.08443198452600001,0.0656158993,0.01747562366,0.22234531080000003,0.06314752164609917,1.0,0.0
edb920079,0.08682709620000001,0.0642321315,0.01861276,0.20786595,0.06239316035761046,1.0,0.0
543130f60,0.067701558,0.051326666,0.038451303,0.22038594,0.051846534072113114,1.0,0.0
9415bc79e,0.09206667153571427,0.04575682042857143,0.02369481122857143,0.41356225285714293,0.11823337115464778,1.0,0.0
4c6fe4100,0.09581192863339999,0.04998995647999999,0.011108540654,0.435720082,0.1283980347803456,1.0,0.0
0737e4f11,0.08246072405806,0.023801538639999998,0.0013005425806,0.33841101399999995,0.11421809780552532,1.0,0.0
61fa73996,0.09192169459999999,0.07950433274999999,0.0305563845,0.19081748999999998,0.0493451365828004,1.0,0.0
eabb13cea,0.09105817041666665,0.06812158950000001,0.020875538166666666,0.24971604,0.06649068469695078,1.0,0.0
deff069a2,0.076310805645,0.04691481475,0.0072969297,0.3213526475,0.08943765486074505,0.75,0.25
4e3640544,0.09616515090000001,0.0259713525,0.016213076,0.4222688,0.12598460445830822,1.0,0.0
ace21b6b1,0.08283411081076923,0.05707586769230769,0.010753830053846154,0.2398735353846154,0.07503853308827503,1.0,0.0
8ee223a17,0.04929135891,0.020083076,0.0008187385,0.17115779,0.06261078726254046,1.0,0.0
9a38d4275,0.09890880333,0.061277364,0.0069935643,0.3234321,0.09884432354715225,1.0,0.0
671ffc570,0.09868129617299999,0.035267433333333334,0.00540371588,0.4200548566666667,0.13114620950486022,0.0,1.0
aece6e7bf,0.09819621750999999,0.064438961,0.0027640389,0.39270651500000003,0.1158039531220943,0.5,0.5
c1e816568,0.08319093031316363,0.06032694390909091,0.013536551467999997,0.2503645559090909,0.07318517739304077,0.36363636363636365,0.6363636363636364
22f6c0ac6,0.09411539465687031,0.05657887287307692,0.008530401337073194,0.3084459023076923,0.09672440828905378,0.7692307692307693,0.23076923076923078
ea159d8da,0.0970538857,0.05301359416666667,0.009559802433333334,0.36732539999999997,0.1068712246619589,1.0,0.0
af1035c81,0.07762230752999999,0.055776730166666656,0.0146997563,0.26224174,0.07106423637439997,1.0,0.0
0d25f084f,0.09386607080333333,0.053482607833333334,0.03002803546666667,0.25916719666666665,0.07684018386077607,1.0,0.0
6fecc5cf7,0.0764781365273077,0.04540157757692308,0.007707160203846154,0.3157217315384616,0.08924076462347513,1.0,0.0
7fe8ef73d,0.049970147799999996,0.054445927500000005,0.010365857,0.08299873,0.022035957972415577,1.0,0.0
015c75c9e,0.060295820556666664,0.047765507000000006,0.014127696566666667,0.16109907533333334,0.044562269141469935,1.0,0.0
9609a0b86,0.08220023006800001,0.0500329355,0.01607782008,0.22306729600000003,0.06833681045737011,0.6,0.4
c740abfe1,,,,,,0.0,1.0
f6551137d,0.08806767545533334,0.05700447073333334,0.0183765732,0.2757646386666667,0.079302818168131,1.0,0.0
