PetID,NumberOfSentences,SentimentMean,SentimentMedian,SentimentStd,SentimentMax,SentimentMin
86e1089a3,6.0,0.30000000000000004,0.2,0.41952353926806063,0.8,-0.2
6296e909a,2.0,-0.25,-0.25,0.49497474683058323,0.1,-0.6
3422e4906,7.0,0.19999999999999998,0.2,0.6110100926607787,0.9,-0.9
5842f1ff5,1.0,0.9,0.9,,0.9,0.9
850a43f90,6.0,0.5833333333333334,0.7,0.29268868558020256,0.8,0.0
d24c30b4b,2.0,-0.1,-0.1,0.14142135623730953,0.0,-0.2
1caa6fcdb,2.0,0.25,0.25,0.3535533905932738,0.5,0.0
97aa9eeac,3.0,0.13333333333333333,0.0,0.41633319989322654,0.6,-0.2
c06d167ca,2.0,0.09999999999999999,0.09999999999999999,0.28284271247461906,0.3,-0.1
7a0942d61,3.0,0.26666666666666666,0.4,0.3214550253664319,0.5,-0.1
8b693ca84,1.0,0.8,0.8,,0.8,0.8
8e76c8e39,10.0,0.36,0.35,0.32386554137309653,0.8,-0.2
aaedd873d,6.0,0.38333333333333336,0.30000000000000004,0.4445971959725642,0.9,-0.2
4a9793dfb,6.0,0.39999999999999997,0.4,0.3847076812334269,0.9,0.0
c02be41e6,10.0,0.13,0.15000000000000002,0.38020462326956983,0.8,-0.6
1fd342e17,3.0,0.5666666666666668,0.8,0.49328828623162474,0.9,0.0
b38a74866,1.0,0.9,0.9,,0.9,0.9
f9d07d5fa,3.0,0.3,0.1,0.43588989435406733,0.8,0.0
1c92ce464,4.0,0.15,0.15000000000000002,0.5322906474223771,0.8,-0.5
b10e7605a,,,,,,
6436c1a59,6.0,0.3333333333333333,0.15000000000000002,0.408248290463863,0.9,0.0
234a5a54c,1.0,0.6,0.6,,0.6,0.6
1bc0f89d8,2.0,0.55,0.55,0.07071067811865474,0.6,0.5
1bf24d8be,7.0,0.21428571428571427,0.0,0.5398412465054624,0.8,-0.5
988988d5b,1.0,0.8,0.8,,0.8,0.8
cf7d3eec0,10.0,0.21000000000000002,0.1,0.35103022978402054,0.8,-0.2
85fc3c314,1.0,0.8,0.8,,0.8,0.8
